id,prediction
0,0.73553705
1,0.42185804
2,0.025157556
3,0.9999895
4,0.9718568
5,0.9999994
6,0.4194047
7,0.053570427
8,0.0029486276
9,0.99996436
10,0.7743966
11,0.9997893
12,1.0
13,0.99999964
14,0.9999999
15,0.9999999
16,0.7242482
17,0.99999976
18,0.85208946
19,0.037576128
20,0.9998728
21,0.99979204
22,7.2676153e-06
23,5.5012338e-06
24,0.98548955
25,0.9999995
26,0.999819
27,0.99717206
28,0.9943334
29,0.9999969
30,0.9999653
31,1.0
32,0.000520782
33,2.0941274e-05
34,0.9999925
35,0.9773361
36,0.99999607
37,0.00018635417
38,0.0018006304
39,0.78259987
40,0.001947199
41,0.011311759
42,0.0003605902
43,0.08873771
44,0.99982774
45,0.9999989
46,0.9999969
47,0.007806406
48,0.9999975
49,0.03517353
50,0.06430554
51,0.06725584
52,0.2678079
53,3.62553e-05
54,0.9948515
55,0.9999391
56,0.5959275
57,1.0
58,0.001369508
59,0.62128174
60,1.0
61,0.9999999
62,0.9983014
63,0.0062171724
64,0.14498356
65,1.3251632e-05
66,0.9910641
67,0.075507484
68,0.0016706141
69,0.0008484958
70,0.99999976
71,0.99999297
72,1.9261228e-05
73,0.029637134
74,6.6980992e-06
75,0.99999845
76,0.5232072
77,0.9999982
78,0.9887776
79,0.9999975
80,0.9366034
81,0.9999964
82,0.9990227
83,0.9970114
84,0.99966955
85,0.00045365037
86,0.9844483
87,0.0025652645
88,0.4853723
89,0.0055297497
90,0.0027625153
91,0.0073919995
92,0.4051583
93,0.9999988
94,0.99999785
95,0.99911386
96,0.99986684
97,0.9999807
98,0.9999757
99,0.99984026
100,0.9999229
101,0.99540114
102,0.9702692
103,0.89024675
104,0.55153847
105,0.9999529
106,0.99999344
107,0.99669087
108,5.2297974e-06
109,0.9757598
110,0.99998975
111,0.99999976
112,0.0014407125
113,0.0012294193
114,0.017748706
115,0.9952284
116,0.97724354
117,0.28009793
118,0.96379805
119,0.00025032563
120,0.99999
121,0.9999995
122,0.9999999
123,0.00026931323
124,0.13833317
125,0.9175661
126,1.0
127,0.00018869451
128,0.2620568
129,0.9999957
130,0.99999857
131,0.9885245
132,0.99810755
133,0.004026172
134,0.0013182329
135,0.99999964
136,0.28190285
137,0.99999857
138,0.9986784
139,0.0027684697
140,0.99999976
141,0.9983891
142,0.99151695
143,0.00012402509
144,0.098287985
145,0.0005745707
146,0.99999595
147,0.94413644
148,7.847942e-05
149,0.9209366
150,0.9566721
151,0.99999845
152,0.99999857
153,0.0021879089
154,0.00173212
155,0.999998
156,0.029101474
157,0.17526041
158,0.99367034
159,0.63336587
160,0.99999845
161,0.9939911
162,0.48413628
163,0.9999808
164,0.00013959667
165,0.9999697
166,0.9988563
167,0.11662666
168,0.9999206
169,0.9999968
170,0.9999962
171,0.9760493
172,0.796014
173,0.9976433
174,0.5574901
175,0.99998724
176,0.9790371
177,0.9989819
178,0.008968977
179,5.680793e-05
180,0.99458534
181,0.7101076
182,0.9823713
183,0.041553278
184,0.999967
185,0.98326856
186,0.013005456
187,0.99999917
188,0.99931026
189,0.99990857
190,0.99999976
191,0.24454525
192,0.99895006
193,1.0
194,0.96999097
195,0.9912068
196,0.9999999
197,9.057763e-05
198,1.0
199,6.956554e-05
200,0.9999864
201,0.9995074
202,0.99999857
203,0.94485694
204,0.99998903
205,0.99835145
206,0.00048114633
207,0.00031296595
208,0.9883208
209,0.0005195561
210,0.9035948
211,0.9932793
212,0.9840836
213,0.99986744
214,0.36392683
215,0.99999905
216,0.99999857
217,0.5262242
218,0.9956676
219,0.99902236
220,0.99998474
221,0.99904007
222,0.9634479
223,1.0
224,1.0
225,0.50768864
226,0.9722927
227,0.99999845
228,0.00028569222
229,0.9999242
230,0.32158762
231,0.98469245
232,0.99999976
233,0.99914014
234,0.96896464
235,1.0
236,0.01815266
237,0.26960975
238,0.999941
239,0.99999976
240,0.9999976
241,0.99999654
242,0.0005105929
243,0.9982408
244,0.74656385
245,0.26228535
246,0.0063237664
247,0.99999905
248,0.9543786
249,0.5874257
250,0.9978454
251,0.9999994
252,0.99999976
253,0.9997906
254,0.9999975
255,0.15134208
256,0.99998975
257,0.9999999
258,0.0027679736
259,0.99999917
260,0.5436191
261,0.99999833
262,0.8912282
263,0.03783314
264,0.0003559243
265,0.57507634
266,1.0
267,0.99999666
268,0.29657277
269,0.074866526
270,6.821765e-05
271,0.32542515
272,0.9996433
273,0.95698816
274,0.9999192
275,0.088357836
276,0.99919134
277,0.00050150446
278,0.99999976
279,0.74902093
280,0.99999917
281,1.0
282,0.9896299
283,0.9996013
284,0.9997986
285,0.00039045623
286,0.007743913
287,0.9888293
288,0.9980476
289,0.99100226
290,0.92577446
291,0.00046616016
292,0.67482054
293,9.1812224e-05
294,0.9999926
295,0.0019526593
296,0.9914995
297,0.9249462
298,0.9997578
299,0.99996173
300,0.0042698337
301,0.9900046
302,0.0012634319
303,1.0
304,0.00026469753
305,0.014399867
306,0.9445028
307,0.9999584
308,0.89450014
309,0.9999944
310,0.99381626
311,0.010505446
312,0.99999917
313,0.99907887
314,0.43997353
315,0.99994373
316,0.9999999
317,0.9999517
318,0.8149748
319,0.9999957
320,0.24974872
321,0.9991756
322,0.41865152
323,0.5981982
324,0.99999857
325,0.0006449967
326,0.9999386
327,0.00093967887
328,0.5537834
329,0.5953424
330,1.0
331,0.00048540632
332,0.99991083
333,0.2812897
334,0.99999917
335,0.9999994
336,0.0023600063
337,0.97148514
338,0.9997824
339,0.9761109
340,0.9967721
341,0.99982184
342,0.99983263
343,0.7877503
344,0.9998367
345,0.999032
346,0.97833556
347,0.0008306025
348,0.99999976
349,0.9999629
350,0.35679087
351,0.9982229
352,0.99999094
353,0.9684332
354,0.9999093
355,0.0003360188
356,0.9791206
357,1.3269778e-06
358,0.95916516
359,0.9971103
360,0.99304247
361,1.8564137e-05
362,0.016295185
363,0.09508534
364,0.9999993
365,0.99663913
366,0.9999914
367,0.9914607
368,3.4954952e-05
369,0.9999933
370,0.9999987
371,0.9999988
372,0.99999976
373,0.0040001394
374,0.99410594
375,0.258749
376,0.79337794
377,0.0077390196
378,0.5015782
379,0.030028082
380,0.009521168
381,0.9999999
382,0.99982387
383,0.0022345686
384,0.9052405
385,0.24602209
386,0.2797178
387,0.9412298
388,0.9996489
389,0.9902558
390,0.00038061425
391,0.72409934
392,0.47819498
393,0.9997758
394,0.99993396
395,0.32810915
396,0.13701476
397,0.84902793
398,0.99999976
399,0.008962266
400,0.99202204
401,0.9999999
402,0.15575425
403,0.00043454845
404,0.814694
405,0.9930147
406,0.99971575
407,0.74424005
408,0.051101588
409,0.52745813
410,0.9998957
411,0.0029003362
412,0.2001102
413,0.99999774
414,0.9989416
415,0.99829966
416,0.99971586
417,0.99983275
418,0.99835324
419,0.95875734
420,0.9999987
421,0.99995935
422,0.9999999
423,0.9942992
424,0.99999976
425,0.6179987
426,0.9992105
427,0.9999938
428,0.9999982
429,0.99740005
430,0.99976045
431,0.23552376
432,0.9999999
433,1.0
434,0.98736703
435,0.0022722064
436,0.06674487
437,0.12005865
438,0.99999535
439,0.9986878
440,0.6266085
441,0.97581565
442,0.05313749
443,0.9999974
444,0.98944736
445,0.99999976
446,0.32607996
447,0.99999917
448,6.7641845e-06
449,0.9937616
450,0.9400328
451,0.39058024
452,0.99939144
453,0.0029430548
454,0.8542
455,0.0015889262
456,0.7628234
457,0.9999809
458,0.99999654
459,0.0056832223
460,0.99993837
461,0.99999094
462,0.99897516
463,0.9907459
464,0.99999654
465,0.9999864
466,0.9999939
467,0.9999999
468,0.046880763
469,0.00019289069
470,0.023912594
471,0.005231462
472,0.030755274
473,0.999961
474,0.84918743
475,0.9999615
476,0.99984205
477,0.19273478
478,0.9999809
479,0.99999964
480,0.9947189
481,0.7475433
482,0.0012475942
483,0.007991078
484,1.0
485,0.9999994
486,0.9845525
487,0.006929957
488,0.00023725878
489,0.22125217
490,0.7587002
491,0.9999989
492,0.98509836
493,0.012702647
494,0.9390741
495,0.99517524
496,0.012146803
497,0.9999989
498,0.9534638
499,0.99752253
500,0.00569389
501,0.84170085
502,0.6404688
503,0.9285939
504,0.99997056
505,0.9581315
506,0.987407
507,0.6699101
508,0.9832756
509,0.001334167
510,0.9341948
511,0.83446336
512,0.9999987
513,0.9999999
514,0.98279095
515,0.95582676
516,0.99999964
517,0.77138966
518,0.9999989
519,0.9607081
520,0.9999989
521,0.9999627
522,1.0
523,0.6127391
524,0.9627312
525,0.9146649
526,0.9999794
527,0.99850595
528,0.9988518
529,0.999998
530,0.99985313
531,0.98202056
532,0.012173359
533,0.23406966
534,0.022510564
535,0.9394428
536,0.9999976
537,0.52289325
538,0.022485053
539,0.997815
540,1.0
541,0.9999995
542,0.9998729
543,0.6442416
544,0.9992416
545,0.9691983
546,0.02742161
547,0.99786633
548,0.98058265
549,0.931649
550,0.99994016
551,0.25409093
552,0.9803057
553,0.97747165
554,0.0024157509
555,0.9999999
556,0.98813164
557,0.9576942
558,0.9999962
559,0.57054573
560,0.99996436
561,0.9407987
562,0.8816721
563,0.0055977944
564,0.99303097
565,0.99996674
566,0.0058720377
567,0.99999905
568,0.9999912
569,0.99259865
570,0.0012722057
571,0.9999999
572,0.0038302834
573,0.964906
574,1.6033986e-05
575,0.88907856
576,0.0022444201
577,0.9999988
578,0.9992925
579,0.0004093725
580,0.9374412
581,0.9999999
582,0.99999905
583,0.4288376
584,0.0006591691
585,0.9998778
586,0.9987656
587,0.017552502
588,0.0081256
589,0.9519756
590,0.18031998
591,0.9999671
592,0.9999993
593,0.9999999
594,0.9999994
595,0.9479088
596,0.9999988
597,0.99983275
598,0.0007152873
599,0.00082693575
600,0.9999999
601,0.7026038
602,0.9999763
603,0.0036596241
604,0.28982618
605,0.99999344
606,0.9999552
607,0.9999944
608,0.99970275
609,0.9999875
610,0.96944237
611,0.9819093
612,0.9999982
613,0.00073177536
614,1.1413624e-06
615,0.999218
616,0.9999856
617,0.0007855788
618,0.991167
619,0.0012740229
620,0.000557155
621,0.8097909
622,0.5840073
623,0.27549943
624,0.7412885
625,0.0020914765
626,0.9999945
627,0.9791808
628,0.9999989
629,0.00042966323
630,0.15508033
631,0.9289601
632,0.010306072
633,0.84017855
634,0.9999976
635,0.2677289
636,1.0
637,0.6849583
638,0.9965611
639,0.99999595
640,0.99991786
641,0.9999994
642,0.0025912824
643,0.0004789704
644,0.0018381202
645,0.9999982
646,0.14736527
647,0.99999106
648,0.7006605
649,0.33565104
650,0.43817842
651,0.9999995
652,0.9999993
653,0.9999994
654,0.9987779
655,0.08856121
656,0.46649325
657,0.0026724432
658,0.004756902
659,0.9590219
660,0.9625339
661,0.9999976
662,0.86868656
663,0.00041277191
664,0.9999459
665,0.009553478
666,0.9999988
667,0.9999988
668,1.7824455e-05
